key,title,tip,tip2
saigai,大雨による災害,<p>・洪水災害（本ゲームで主に扱う災害）</p><p>大雨や融雪などを原因として、河川の流量が異常に増加することによって堤防の浸食や決壊、橋の流出等が起こる災害</p><p>・浸水害</p><p>大雨等による地表水の増加に排水が追いつかず、用水路、下水溝などがあふれて氾濫したり、河川の増水や高潮によって排水が阻まれたりして、住宅や田畑が水につかる災害</p><p>・土砂災害</p><p>山腹や川底の石や土砂が集中豪雨などによって一気に下流へと押し流される現象を土石流といいます。また、山の斜面や自然の急傾斜の崖、人工的な造成による斜面が突然崩れ落ちることを崖崩れという</p><p>・暴風による災害</p><p>・高潮による災害（本ゲームでは扱いません）</p><p>・高波による災害（本ゲームでは扱いません）</p><a href='https://www.jma.go.jp/jma/kishou/know/ame_chuui/ame_chuui_p3.html' target='_blank'　rel='noopener noreferrer'>大雨による災害（気象庁 "https://www.jma.go.jp/jma/kishou/know/ame_chuui/ame_chuui_p3.html" より）</a>
hazard,ハザードマップ,住民向けの洪水、土砂災害などのハザードマップは、基本的には各市町村が作成、公表しています。現在は、紙に印刷して配布するとともに、ネット公開が一般的です。しかし、各市町村のホームページ上にあるハザードマップは名称、凡例、収録内容、使い方などが異なる、市町村境界で情報が途切れるといったこともあり、複数市町村について参照したいときには必ずしも便利ではありません。全国のハザードマップを、同一の内容、使い方で参照できるのが、<b>国土交通省が整備している「重ねるハザードマップ」</b>です。また「わがまちハザードマップ」からは，各市町村が作成したハザードマップへアクセスすることができます。「重ねるハザードマップ」「わがまちハザードマップ」<b>国土地理院（国土交通省）のハザードマップポールサイトのページ</b>から見られます<p><a href='https://disaportal.gsi.go.jp/' target='_blank'　rel='noopener noreferrer'>ハザードマップポータルサイトへのリンク(https://disaportal.gsi.go.jp/)</a><br>※TIPで紹介するリンクからは静的なページしか表示されません（ページを確認しておき，後で情報メニューから参照してみましょう）<p>・<b>浸水ナビ</b>について</p>堤防が決壊した際，何時間で何 m 浸水するかを，シミュレーションすることができる．<br><a href='https://suiboumap.gsi.go.jp/' target='_blank'>国土地理院（国土交通省）浸水ナビへのリンク</a>
hinanhouho,避難方法,<p><b>立ち退き避難</b></p>災害により危険な場所（災害リスクのある区域）から安全な場所へ移動して避難すること.災害リスクのある区域（ハザードマップ等に掲載されている洪水浸水想定区域、雨水出水浸水想定区域、土砂災害警戒区域等または中小河川沿い、局所的な低地、山裾等の外側等）<br>・避難先<br>指定緊急避難場所：切迫した災害の危険から身の安全を確保するために避難する場所として、あらかじめ市町村が指定した施設　※指定避難所は災害の危険性がなくなった後に、ご自宅が被災された方々や、災害により帰宅が困難となった方々が一時的に滞在することを目的とした施設，指定緊急避難所と重複している場合あり．<br>避難所の情報は<span class='tip mark' data-key='ooamechui' data-name='colum'>ハザードマップ</span>（先ほど紹介した重ねるハザードマップや市のハザードマップ）や市の防災情報のページなど（長野市の場合<a href='https://www.city.nagano.nagano.jp/soshiki/kikibousai/2530.html' target='_blank'　rel='noopener noreferrer'> https://www.city.nagano.nagano.jp/soshiki/kikibousai/2530.html(長野市HP)</a>から確認できます．<a href='https://disaportal.gsi.go.jp/' target='_blank'>ハザードマップポータルサイトへのリンク(https://disaportal.gsi.go.jp/)</a><p>移動手段：原則徒歩（故障車の渋滞などによる2次災害を防ぐため．浸水したエリアを車で通ることは危険であるため．）</p>安全な自主避難先：親戚・知人宅、ホテル・旅館等（ハザードマップ等で安全な場所か確認）<br><p><b>緊急安全確保</b><br>「災害が発生又は切迫している状況」や、「居住者等が身の安全を確保するために立退き避難することがかえって危険であると考えられる状況」において、いまだ危険な場所にいる居住者等に対し、避難所等への「立退き避難」を中心とした避難行動ではなく、ただちに安全を確保する行動</p> <p><b>屋内安全確保</b></p><p>浸水の危険があっても，以下の3つが確認できれば，自宅に 留まり，安全確保も可能<br>①自宅・施設等が家屋倒壊等氾濫想定区域に存していないこと<br>②浸水深より居室は高い<br>③水が引くまで我慢でき，水・食料の備えが十分 <p>避難方法に関する詳細な情報は首相官邸または内閣府または気象庁のウェブページなど様々なところから得られる．<a href='http://www.bousai.go.jp/oukyu/hinanjouhou/r3_hinanjouhou_guideline/' target='_blank'>内閣府-防災情報のページ</a></p>
ooamechuui,大雨注意報,<p>　<b>大雨注意報</b>は<b>気象警報・注意報</b>に分類される情報です．</p><p>・気象警報・注意報について</p><p>【発表対象】気象警報・注意報は2次細分区域（市区町村）に対して発表されます．</p><p>【リンク紹介】気象警報・注意報に関する詳細な情報は気象庁-知識のページなどで見られます．気象警報・注意報を解説しているリンクを載せます<br><a href='https://www.jma.go.jp/jma/kishou/know/bosai/warning.html' target='_blank' rel='noopener noreferrer'>詳細情報へのリンク（気象警報・注意報）</a><p>リアルタイムの情報はテレビやメール配信サービス以外にも，インターネット上で，<b>気象庁</b>のウェブページからいつでも参照可能である．気象庁・防災情報のページの気象防災-気象警報・注意報　などから見られる．<br><a href='https://www.jma.go.jp/jma/menu/menuflash.html'　target='_blank' rel='noopener noreferrer'>リアルタイム情報へのリンク（気象警報・注意報）</a><p>・大雨注意報について</p><p>【対象災害】<br>河川の増水に起因しない浸水害や土砂災害<br>【警戒レベル】<br>警戒レベル2相当の情報、状況としては気象状況悪化<br>【基準】土壌雨量指数・表面雨量指数</p>
kouzuichuui,洪水注意報,<p>【分類】気象警報・注意報</p><p>リアルタイム情報は　気象庁-防災情報のページの 気象防災　気象警報・注意報　などから得られる</p<a href='https://www.jma.go.jp/jma/menu/menuflash.html' target='_blank' rel='noopener noreferrer'>リアルタイム情報へのリンク（気象庁-防災情報）</a><p>【対象災害】河川の増水に起因する災害，外水氾濫や河川の増水に起因する内水氾濫</p><p>【警戒レベル】警戒レベル2相当の情報<br>警戒レベル2は気象状況の悪化の状況</p><p>【発表基準】</p>流域雨量指数や表面雨量指数<p>※中小河川（水位周知河川及びその他河川）に対して参考になる情報，特に水位のわからないその他河川の参考になる情報</p><p>・洪水キキクルについて</p><p>大雨による中小河川（水位周知河川及びその他河川）の洪水災害発生の危険度の高まりを5段階に色分けして地図上に示したもの<br>詳細情報は　気象庁-知識・解説　のページの洪水キキクル　などから見られる．</p><a href='https://www.jma.go.jp/jma/kishou/know/bosai/riskmap_flood.html'　target='_blank' rel='noopener noreferrer'>詳細情報へのリンク（気象庁-知識・解説-洪水キキクル）</a><br>リアルタイム情報は(気象庁-防災情報　気象防災 キキクル（危険度分布）洪水）から<a href='https://www.jma.go.jp/jma/menu/menuflash.html' target='_blank'>気象庁-防災情報</a><p>台風19号時の情報も見てみましょう（気象庁-知識・解説-警報の危険度分布-過去事例（令和元年東日本台風(台風第19号)による大雨））<br>TIPを閉じて情報メニュー（スマホ）から見れます</p><p>
ooamekeiho,大雨警報,<p>【分類】気象警報・注意報</p><p>大雨警報は、大雨による重大な土砂災害や浸水害が発生するおそれがあると予想したときに発表します。特に警戒すべき事項を標題に明示して「大雨警報（土砂災害）」、「大雨警報（浸水害）」又は「大雨警報（土砂災害、浸水害）」のように発表します。雨が止んでも重大な土砂災害等のおそれが残っている場合には発表を継続します。</p><p>【警戒レベル】警戒レベル3相当の情報　警戒レベル3は災害が発生するおそれがある状況　※大雨注意報の一段階上の警戒レベルの情報
kouzuikeiho,洪水警報,<p>【分類】気象警報・注意報</p><p>【警戒レベル】警戒レベル3相当　警戒レベル3は災害が発生するおそれがある状況<br>※洪水注意報の一段階上の警戒レベル相当の情報です</p>
hanranchuui,氾濫注意情報,<p><b>氾濫注意情報</b>は<b>指定河川洪水予報</b>に分類される情報です．</p><p>・指定河川洪水予報について</p><p>【対象災害】</p><p>【発表対象】<br>洪水予報河川（水位等の予測が技術的に可能な流域面積が大きい河川）<br>「○○川氾濫注意情報」「△△川氾濫警戒情報」のように発表</p><p>【発表基準】河川の水位とその見込み　「現況から数時間先まで」の洪水の危険度</p><a href="https://www.jma.go.jp/jma/kishou/know/bosai/flood.html" target="_blank" rel="noopener noreferrer">（気象庁-知識・解説-指定河川洪水予報）</a><p>リアルタイム情報は（気象庁-防災情報-気象防災-指定河川洪水予報）などから</p><a href='https://www.jma.go.jp/jma/menu/menuflash.html' target='_blank'　rel='noopener noreferrer'>気象庁-防災情報</a><p>・<b>氾濫注意情報</b>について</p><p>【発表基準】氾濫注意水位（レベル2水位）に到達し、さらに水位の上昇が見込まれる<p>【警報レベル】警報レベル2相当の情報</p>
tokubetsukeiho,大雨特別警報,台風や集中豪雨により数十年に一度の降雨量となる大雨が予想される場合に発表<p>【分類】気象警報・注意報</p><p>【対象災害】特に警戒すべき事項を標題に明示して「大雨特別警報（土砂災害）」、「大雨特別警報（浸水害）」又は「大雨特別警報（土砂災害、浸水害）」のように発表</p><p>【警戒レベル】警戒レベル5相当 大雨警報の2段階上、土砂災害警戒情報の1段階上の警戒レベルの情報</p>
dosyasaigaikeikai,土砂災害警戒情報,大雨警報（土砂災害）の発表後、土砂災害の危険度がさらに高まったときに、対象となる市町村を特定して警戒を呼びかける防災情報【分類】土砂災害警戒情報【対象災害】土砂災害【警戒レベル】警戒レベル３相当【基準】2時間先までの土壌雨量指数等の予想　・詳細情報へのリンク（https://www.jma.go.jp/jma/kishou/know/bosai/doshakeikai.html）気象庁-知識・解説　・リアルタイム情報<a href="https://www.jma.go.jp/jma/menu/menuflash.html" target="_blank" rel="noopener noreferrer">（気象庁-防災情報）</a> のページ（気象防災 土砂災害警戒情報） ・台風19号時の情報　情報メニューから参照できます
